Widget,React/Chakra-UI,React/Material-UI,React/Ant-Design,React/Reakit,React/Bootstrap,React/Semantic-UI,Vue/Ant-Design,Vue/Bootstrap,Vue/Element-UI,Vue/Vuetify,Angular/Ng-Bootstrap,Angular/Angular-Material,Svelte/Carbon-Components,Svelte/Material-UI
Accordion,0.0,1.0,4.0,,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,
Alert,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,
AlertDialog,0.0,1.0,3.0,1.0,,3.0,3.0,1.0,2.0,,3.0,1.0,0.0,0.0
Breadcrumbs,0.0,0.0,3.0,,0.0,3.0,3.0,3.0,0.0,3.0,,,1.0,
Button,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Carousel,,,5.0,,5.0,,5.0,3.0,5.0,4.0,6.0,,,
Checkbox,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0
Combobox,,1.0,1.0,,,10.0,1.0,,2.0,3.0,3.0,2.0,3.0,
Dialog,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
Disclosure,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Feed,,,,,,,,,8.0,8.0,,,,
Link,,,,,,,,,,,,,,
Listbox,,0.0,0.0,,4.0,2.0,1.0,3.0,4.0,1.0,,0.0,2.0,1.0
Menu,1.0,1.0,2.0,0.0,5.0,4.0,2.0,4.0,3.0,4.0,,,1.0,2.0
MenuButton,0.0,1.0,2.0,0.0,1.0,4.0,4.0,4.0,2.0,0.0,,,0.0,2.0
RadioGroup,2.0,2.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0
Slider,0.0,0.0,1.0,,4.0,,1.0,,2.0,0.0,,1.0,0.0,5.0
MultiThumbSlider,,0.0,1.0,,,,1.0,,5.0,1.0,,,,5.0
Spinbutton,,,5.0,,,,5.0,0.0,5.0,,4.0,,,
Table,1.0,,,,,,,0.0,,,,,,
Tabs,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0
Toolbar,,2.0,,0.0,,2.0,,0.0,,2.0,,2.0,,2.0
Tooltip,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
TreeView,,1.0,6.0,,,,3.0,,2.0,8.0,,3.0,0.0,11.0
TreeGrid,,,,,,,,,,,,,,
WindowSplitter,,,,,,,,,,,,,,
