Widget,Keyboard,ARIA,Average,Sum
Accordion,0.25,2.17,1.21,2.42
Alert,0.0,0.18,0.09,0.18
AlertDialog,1.0,1.5,1.25,2.5
Breadcrumbs,0.0,1.6,0.8,1.6
Button,0.0,0.0,0.0,0.0
Carousel,0.71,4.71,2.71,5.42
Checkbox,0.0,1.5,0.75,1.5
Combobox,0.33,2.89,1.61,3.22
Dialog,0.64,0.93,0.79,1.57
Disclosure,0.38,0.38,0.38,0.76
Feed,0.0,8.0,4.0,8.0
Link,,,,0.0
Listbox,0.73,1.64,1.19,2.37
Menu,5.08,2.42,3.75,7.5
MenuButton,0.75,1.67,1.21,2.42
RadioGroup,0.07,1.57,0.82,1.64
Slider,0.4,1.4,0.9,1.8
MultiThumbSlider,0.17,2.17,1.17,2.34
Spinbutton,1.2,3.8,2.5,5.0
Table,0.0,0.5,0.25,0.5
Tabs,1.07,2.0,1.54,3.07
Toolbar,1.14,1.43,1.28,2.57
Tooltip,0.46,0.46,0.46,0.92
TreeView,5.5,4.25,4.88,9.75
TreeGrid,,,,0.0
WindowSplitter,,,,0.0
