,Keyboard,ARIA,Average,Sum
React/Chakra-UI,1.0,0.94,0.97,1.94
React/Material-UI,0.91,0.86,0.89,1.77
React/Ant-Design,0.74,0.59,0.67,1.33
React/Reakit,1.0,0.95,0.97,1.95
React/Bootstrap,0.84,0.58,0.71,1.42
React/Semantic-UI,0.55,0.16,0.36,0.71
Vue/Ant-Design,0.75,0.52,0.64,1.27
Vue/Bootstrap,0.77,0.71,0.74,1.48
Vue/Element-UI,0.7,0.62,0.66,1.32
Vue/Vuetify,0.81,0.53,0.67,1.34
Angular/Ng-Bootstrap,0.81,0.63,0.72,1.44
Angular/Angular-Material,0.9,0.83,0.86,1.73
Svelte/Carbon-Components,0.93,0.82,0.88,1.75
Svelte/Material-UI,0.82,0.57,0.69,1.39
