Widget,Keyboard,ARIA,Average,Sum
Accordion,0.92,0.53,0.73,1.45
Alert,1.0,0.82,0.91,1.82
AlertDialog,0.75,0.5,0.62,1.25
Breadcrumbs,1.0,0.47,0.73,1.47
Button,1.0,1.0,1.0,2.0
Carousel,0.82,0.33,0.57,1.15
Checkbox,1.0,0.71,0.85,1.71
Combobox,0.95,0.73,0.84,1.68
Dialog,0.84,0.77,0.8,1.61
Disclosure,0.81,0.81,0.81,1.62
Feed,1.0,0.0,0.5,1.0
Link,,,,0.0
Listbox,0.82,0.63,0.72,1.45
Menu,0.53,0.58,0.55,1.11
MenuButton,0.62,0.58,0.6,1.2
RadioGroup,0.98,0.69,0.83,1.67
Slider,0.93,0.79,0.86,1.72
MultiThumbSlider,0.92,0.68,0.8,1.6
Spinbutton,0.7,0.24,0.47,0.94
Table,1.0,0.88,0.94,1.88
Tabs,0.73,0.71,0.72,1.44
Toolbar,0.62,0.47,0.54,1.09
Tooltip,0.54,0.77,0.66,1.31
TreeView,0.39,0.53,0.46,0.92
TreeGrid,,,,0.0
WindowSplitter,,,,0.0
