,Keyboard,ARIA,Average,Sum
React/Chakra-UI,0.0,0.33,0.17,0.33
React/Material-UI,0.16,0.63,0.4,0.79
React/Ant-Design,1.0,1.95,1.48,2.95
React/Reakit,0.0,0.18,0.09,0.18
React/Bootstrap,0.73,2.27,1.5,3.0
React/Semantic-UI,1.93,3.53,2.73,5.46
Vue/Ant-Design,1.3,2.1,1.7,3.4
Vue/Bootstrap,0.94,1.17,1.05,2.11
Vue/Element-UI,1.19,2.14,1.67,3.33
Vue/Vuetify,1.15,2.45,1.8,3.6
Angular/Ng-Bootstrap,0.75,2.0,1.38,2.75
Angular/Angular-Material,0.64,0.86,0.75,1.5
Svelte/Carbon-Components,0.53,0.88,0.71,1.41
Svelte/Material-UI,1.36,2.64,2.0,4.0
