Widget,React/Chakra-UI,React/Material-UI,React/Ant-Design,React/Reakit,React/Bootstrap,React/Semantic-UI,Vue/Ant-Design,Vue/Bootstrap,Vue/Element-UI,Vue/Vuetify,Angular/Ng-Bootstrap,Angular/Angular-Material,Svelte/Carbon-Components,Svelte/Material-UI
Accordion,1.0,0.88,0.5,,0.57,0.0,0.62,0.86,0.75,0.62,0.75,0.86,0.75,
Alert,1.0,1.0,1.0,,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,1.0,
AlertDialog,1.0,0.86,0.14,0.86,,0.14,0.57,0.43,0.29,,0.57,0.86,1.0,1.0
Breadcrumbs,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,,0.67,
Button,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Carousel,,,0.5,,0.45,,0.5,0.73,0.45,0.6,0.18,,,
Checkbox,0.86,0.86,0.83,0.83,0.83,0.5,0.83,0.86,1.0,0.86,0.5,0.83,0.5,0.5
Combobox,,0.94,0.94,,,0.44,0.94,,0.83,0.71,0.83,0.89,0.83,
Dialog,1.0,0.88,0.75,1.0,0.75,0.12,0.75,0.88,0.88,0.38,1.0,1.0,1.0,0.88
Disclosure,1.0,1.0,0.75,1.0,0.75,0.0,0.75,1.0,0.5,0.75,1.0,1.0,1.0,
Feed,,,,,,,,,0.33,0.33,,,,
Link,,,,,,,,,,,,,,
Listbox,,1.0,0.88,,0.38,0.7,0.78,0.5,0.38,0.89,,1.0,0.67,0.78
Menu,0.94,0.92,0.74,1.0,0.4,0.0,0.28,0.13,0.58,0.44,,,0.81,0.4
MenuButton,1.0,0.83,0.5,1.0,0.83,0.0,0.0,0.0,0.33,1.0,,,1.0,0.67
RadioGroup,0.78,0.78,0.78,1.0,0.78,0.56,0.67,0.89,0.78,0.89,0.89,1.0,0.89,0.78
Slider,1.0,1.0,0.92,,0.67,,0.92,,0.69,1.0,,0.92,0.83,0.62
MultiThumbSlider,,1.0,0.88,,,,0.88,,0.33,0.88,,,,0.44
Spinbutton,,,0.22,,,,0.44,1.0,0.22,,0.33,,,
Table,0.75,,,,,,,1.0,,,,,,
Tabs,1.0,1.0,0.73,1.0,0.36,0.0,0.73,1.0,1.0,0.27,0.45,0.91,0.91,0.73
Toolbar,,0.33,,1.0,,0.33,,1.0,,0.33,,0.33,,0.33
Tooltip,1.0,0.67,0.0,1.0,0.67,,0.33,0.67,0.67,0.33,1.0,1.0,0.67,1.0
TreeView,,0.94,0.44,,,,0.33,,0.67,0.12,,0.38,0.78,0.0
TreeGrid,,,,,,,,,,,,,,
WindowSplitter,,,,,,,,,,,,,,
