Widget,React/Chakra-UI,React/Material-UI,React/Ant-Design,React/Reakit,React/Bootstrap,React/Semantic-UI,Vue/Ant-Design,Vue/Bootstrap,Vue/Element-UI,Vue/Vuetify,Angular/Ng-Bootstrap,Angular/Angular-Material,Svelte/Carbon-Components,Svelte/Material-UI
Accordion,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Alert,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,
AlertDialog,1.0,1.0,0.25,1.0,,0.25,1.0,0.25,0.25,,1.0,1.0,1.0,1.0
Breadcrumbs,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
Button,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Carousel,,,1.0,,0.75,,1.0,1.0,0.75,1.0,0.25,,,
Checkbox,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combobox,,1.0,1.0,,,1.0,1.0,,0.86,0.71,1.0,1.0,1.0,
Dialog,1.0,1.0,0.75,1.0,0.75,0.25,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0
Disclosure,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,
Feed,,,,,,,,,1.0,1.0,,,,
Link,,,,,,,,,,,,,,
Listbox,,1.0,0.75,,0.75,0.75,0.75,0.75,0.75,1.0,,1.0,0.75,0.75
Menu,1.0,1.0,0.73,1.0,0.36,0.0,0.0,0.18,0.55,0.45,,,0.78,0.36
MenuButton,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0
RadioGroup,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
Slider,1.0,1.0,1.0,,1.0,,1.0,,0.67,1.0,,1.0,0.67,1.0
MultiThumbSlider,,1.0,1.0,,,,1.0,,0.5,1.0,,,,1.0
Spinbutton,,,0.5,,,,1.0,1.0,0.5,,0.5,,,
Table,1.0,,,,,,,1.0,,,,,,
Tabs,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Toolbar,,0.33,,1.0,,1.0,,1.0,,0.33,,0.33,,0.33
Tooltip,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
TreeView,,1.0,0.56,,,,0.0,,0.56,0.22,,0.22,0.56,0.0
TreeGrid,,,,,,,,,,,,,,
WindowSplitter,,,,,,,,,,,,,,
