,Keyboard,ARIA,Average,Sum
React/Chakra-UI,0.0,5.0,2.5,5.0
React/Material-UI,3.0,12.0,7.5,15.0
React/Ant-Design,20.0,39.0,29.5,59.0
React/Reakit,0.0,2.0,1.0,2.0
React/Bootstrap,11.0,34.0,22.5,45.0
React/Semantic-UI,29.0,53.0,41.0,82.0
Vue/Ant-Design,26.0,42.0,34.0,68.0
Vue/Bootstrap,17.0,21.0,19.0,38.0
Vue/Element-UI,25.0,45.0,35.0,70.0
Vue/Vuetify,23.0,49.0,36.0,72.0
Angular/Ng-Bootstrap,9.0,24.0,16.5,33.0
Angular/Angular-Material,9.0,12.0,10.5,21.0
Svelte/Carbon-Components,9.0,15.0,12.0,24.0
Svelte/Material-UI,19.0,37.0,28.0,56.0
